auto_name,module,library,namespace,submodule,doc,has_default_config_attr,has_get_default_config,family
AutoAutoformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoBiTCN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoDLinear,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoDeepAR,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoDeepNPTS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoDilatedRNN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoFEDformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoGRU,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoHINT,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",False,True,
AutoInformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoKAN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoLSTM,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoMLP,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoMLPMultivariate,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoNBEATS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoNBEATSx,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoNHITS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoNLinear,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoPatchTST,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoRMoK,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoRNN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoSOFTS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoStemGNN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTCN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTFT,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTSMixer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTSMixerx,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTiDE,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTimeMixer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTimeXer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoTimesNet,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoVanillaTransformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoiTransformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
AutoxLSTM,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,
