model_name,auto_name,exog_code,exog_future,exog_historical,exog_static
Autoformer,AutoAutoformer,F,True,False,False
BiTCN,AutoBiTCN,F/H/S,True,True,True
DeepAR,AutoDeepAR,F/S,True,False,True
DeepNPTS,AutoDeepNPTS,F/H/S,True,True,True
DilatedRNN,AutoDilatedRNN,F/H/S,True,True,True
FEDformer,AutoFEDformer,F,True,False,False
GRU,AutoGRU,F/H/S,True,True,True
HINT,AutoHINT,F/H/S,True,True,True
Informer,AutoInformer,F,True,False,False
iTransformer,AutoiTransformer,-,False,False,False
KAN,AutoKAN,F/H/S,True,True,True
LSTM,AutoLSTM,F/H/S,True,True,True
MLP,AutoMLP,F/H/S,True,True,True
MLPMultivariate,AutoMLPMultivariate,F/H/S,True,True,True
NBEATS,AutoNBEATS,-,False,False,False
NBEATSx,AutoNBEATSx,F/H/S,True,True,True
NHITS,AutoNHITS,F/H/S,True,True,True
NLinear,AutoNLinear,-,False,False,False
PatchTST,AutoPatchTST,-,False,False,False
RMoK,AutoRMoK,-,False,False,False
RNN,AutoRNN,F/H/S,True,True,True
SOFTS,AutoSOFTS,-,False,False,False
StemGNN,AutoStemGNN,-,False,False,False
TCN,AutoTCN,F/H/S,True,True,True
TFT,AutoTFT,F/H/S,True,True,True
TiDE,AutoTiDE,F/H/S,True,True,True
TimeMixer,AutoTimeMixer,-,False,False,False
TimeLLM,-,-,False,False,False
TimesNet,AutoTimesNet,F,True,False,False
TimeXer,AutoTimeXer,F,True,False,False
TSMixer,AutoTSMixer,-,False,False,False
TSMixerx,AutoTSMixerx,F/H/S,True,True,True
VanillaTransformer,AutoVanillaTransformer,F,True,False,False
xLSTM,AutoxLSTM,F/H/S,True,True,True
