auto_name,config_entry_count,top_key_unique
AutoTiDE,21,17
AutoxLSTM,17,13
AutoDilatedRNN,16,13
AutoPatchTST,15,13
AutoDeepAR,16,12
AutoDeepNPTS,16,12
AutoKAN,16,12
AutoRMoK,16,12
AutoTimeMixer,16,12
AutoGRU,15,12
AutoLSTM,15,12
AutoRNN,15,12
AutoTSMixer,15,12
AutoTSMixerx,15,12
AutoAutoformer,15,11
AutoBiTCN,15,11
AutoInformer,15,11
AutoMLP,15,11
AutoMLPMultivariate,15,11
AutoNHITS,15,11
AutoSOFTS,15,11
AutoTFT,15,11
AutoTimeXer,15,11
AutoTimesNet,15,11
AutoVanillaTransformer,15,11
AutoiTransformer,15,11
AutoStemGNN,14,11
AutoTCN,14,11
AutoDLinear,14,10
AutoFEDformer,14,10
AutoNBEATS,13,9
AutoNBEATSx,13,9
AutoNLinear,13,9
